run,tsr,cp,cd,exp_unc_tsr,exp_unc_cp,exp_unc_cd,dof_tsr,dof_cp,dof_cd,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upvp,mean_upwp,mean_vpwp,k
108,1.8996255374948052,0.25165289772808375,0.9303848614427337,0.006469721927417045,0.013476386839908212,0.02498559150921202,8.000192437130364,9.942917070095287,8.024033761332001,-0.4,0.25,0.39438272846840144,-0.024029233881900768,-0.09660315861546351,0.1347712275689567,0.12467666346358541,0.10011062169422175,0.004653288116120102,-0.002199578594686359,0.0015790330819056082,0.02185749832616872
109,1.8997184898084913,0.24880428235572782,0.9218692905222861,0.010479997773276814,0.010786284139580543,0.01269345869464788,8.000073341918778,11.056524990220115,8.093199184662927,-0.3,0.25,0.3369801547199743,-0.008626765365517876,-0.06651378615738018,0.1192488741925517,0.12404044339645787,0.09086146543306309,0.003900839082724537,-0.0027867313024008294,0.00019036996904810865,0.01892469942013572
110,1.8994278766196262,0.24852428902050286,0.9280578612190791,0.007433120451982537,0.017494346432889756,0.02312926796916333,8.000145779586276,9.143326743352096,8.02804810336569,-0.2,0.25,0.237294216568268,-0.01278696238143546,-0.020908602186306868,0.11030221971924135,0.10363586365297715,0.0791994212236393,0.0022068457146486443,-0.002727896250804538,0.00021021439050719566,0.014584856268309715
111,1.8996017659435815,0.2528107462622101,0.9328337692188762,0.01159506219525793,0.015460538102617022,0.026587902389957202,8.000059912761655,9.469413376956155,8.021224406078517,-0.1,0.25,0.23934152083527668,-0.004922352887909202,-0.014370295679464596,0.10787158457940697,0.09760377038402752,0.07804861224829598,0.0006053978307970009,-0.001735400871487212,0.00153579637181029,0.013622598118471673
112,1.8990327360695862,0.2516996226716436,0.9287077974453527,0.009276043342587621,0.018488628582766193,0.021767964932848133,8.000093599488402,9.02187331679728,8.031668442977747,0.0,0.25,0.2647157259084696,-0.00012197574042440993,-0.017645161285898173,0.15611482891773937,0.12706186001013578,0.102159472237894,-0.004246322345080653,-0.0070436649301051065,0.002702911225517172,0.025467996251578775
113,1.9003327528564253,0.25437466012541854,0.9288108512271654,0.005432467390140403,0.009542464535261171,0.015823623843853614,8.000272998418966,11.913902988767552,8.059950018594064,0.1,0.25,0.2729455280593999,-0.006680457442762374,-0.02108069940673866,0.16904424673346127,0.13639480890357744,0.10168702220946356,-0.002176131913781521,-0.00699742440512601,0.0005623189964084604,0.028750204379911003
114,1.8991359599240705,0.24845608551500925,0.9269685256506117,0.006917242481245682,0.00966189009200807,0.015419325403076426,8.000168321920423,11.813147403432543,8.06313780773961,0.2,0.25,0.3583800404709129,-0.010727822591434233,-0.050257392595437614,0.15284564564488284,0.14892690842107065,0.1179705459045861,1.4491051519908997e-07,-0.005155083310045709,0.00011375252918530456,0.02971904297846408
115,1.899635467285914,0.25317770054355854,0.9311590024071087,0.0060498240469055295,0.020818507623040987,0.02484379574485851,8.000220084153073,8.80442929697387,8.024310331868184,0.3,0.25,0.24001276896348328,0.0033971083091891975,-0.014694220432565705,0.10536530053941666,0.11462717195694107,0.08707268056929077,0.0019080684498377844,-0.002296645712411838,-0.0010080224845520015,0.015906095333327062
116,1.89934585278196,0.2550317127006174,0.9360370716694488,0.006971983637381609,0.010252532423871301,0.017392897044156502,8.000165700478872,11.38565006876688,8.049614975930762,0.4,0.25,0.2150440485697057,0.002445228519933661,-0.007687164007434784,0.11667690106106775,0.11830553970578858,0.07118701102148602,0.003541054988108027,-0.0008156018816229867,-0.001140237734244524,0.016333153577919125
117,1.8996085997248775,0.25128208096167476,0.9308111018534013,0.0080367157192114,0.013671851304219175,0.019819582653124782,8.000124712841094,9.886856693412563,8.03820371005612,0.5,0.25,0.18927563040450748,0.0076246639452805815,0.004932795764347325,0.10877887336374341,0.10292199504526363,0.07366742107702502,0.002474476924659759,-0.0005676249345479629,0.00016565891598865155,0.013921654425080232
